state_name,state_abbr,city,name,street,zip,hours,coming_soon
Georgia,GA,Atlanta,Lenox Square,3393 Peachtree Road Northeast #3065B,30326,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:00am - 8:00pm,FALSE
Georgia,GA,Atlanta,Perimeter,123 Perimeter Center West suite 400,30346,Mon - Fri 10:30am - 10:00pm Sat - Sun 10:30am - 9:00pm,FALSE
Georgia,GA,Atlanta,Ponce City Market,"650 North Ave NE, Suite 102B",30308,Mon - Sun 10:30am - 10:00pm,FALSE
Georgia,GA,Atlanta,West Midtown,1050 Howell Mill Road Northwest suite 107,30318,Mon - Sun 10:30am - 10:00pm,FALSE
Illinois,IL,Chicago,Andersonville,5400 N Clark St.,60640,Mon - Sun 10:30am - 10:00pm,FALSE
Illinois,IL,Chicago,Dearborn + Madison,1 N Dearborn St,60602,Mon - Fri 10:30am - 8:00pm,FALSE
Illinois,IL,Deer Park,Deer Park,20530 North Rand Road #438,60010,Mon - Sun 10:00am - 8:00pm,FALSE
Illinois,IL,Deerfield,Deerfield,775 Waukegan Road suite 170,60015,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:00am - 8:00pm,FALSE
Illinois,IL,Evanston,Evanston,1601 Sherman Avenue,60201,Mon - Sun 10:00am - 10:00pm,FALSE
Illinois,IL,Chicago,Franklin + Randolph,151 North Franklin Street,60606,Mon - Fri 10:00am - 6:00pm Sun 11:00am - 4:00pm,FALSE
Illinois,IL,Chicago,Fulton Market,1000 Randolph St,60607,Mon - Sun 10:00am - 10:00pm,FALSE
Illinois,IL,Chicago,Gold Coast,2 West Division Street,60610,Mon - Sun 10:30am - 9:00pm,FALSE
Illinois,IL,Chicago,Hyde Park,1500 East 53rd Street,60615,Mon - Sun 10:00am - 10:00pm,FALSE
Illinois,IL,Chicago,Lincoln Common,2361 North Lincoln Avenue suite A1-110,60614,Mon - Sun 10:30am - 10:00pm,FALSE
Illinois,IL,Chicago,Logan Square,2500 N Milwaukee Ave,60647,Mon - Sun 10:30am - 9:00pm,FALSE
Illinois,IL,Chicago,Millennium Park,150 N Michigan Ave,60601,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:30am - 9:00pm,FALSE
Illinois,IL,Naperville,Naperville,223 South Main Street,60540,Mon - Sun 10:30am - 9:00pm,FALSE
Illinois,IL,Chicago,North + Clybourn,900 W North Ave,60614,Mon - Sun 10:30am - 8:00pm,FALSE
Illinois,IL,Northbrook,Northbrook,984 Willow Road suite J,60062,Mon - Fri 10:00am - 9:00pm Sat - Sun 10:00am - 8:00pm,FALSE
Illinois,IL,Oak Park,Oak Park,1143 Lake Street,60301,Mon - Fri 10:30am - 10:00pm Sat - Sun 10:30am - 9:00pm,FALSE
