state_abbr,city,street,city_slug,street_slug,url
TX,Spring,760 Sawdust Rd,spring,760-sawdust-rd,https://locations.chipotle.com/tx/spring/760-sawdust-rd
GA,Dacula,862 Harbins Rd,dacula,862-harbins-rd,https://locations.chipotle.com/ga/dacula/862-harbins-rd
IL,Joliet,1351 Shale Rd,joliet,1351-shale-rd,https://locations.chipotle.com/il/joliet/1351-shale-rd
GA,Acworth,8970 Dallas Acworth Hwy,acworth,8970-dallas-acworth-hwy,https://locations.chipotle.com/ga/acworth/8970-dallas-acworth-hwy
NC,Durham,737 9th St,durham,737-9th-st,https://locations.chipotle.com/nc/durham/737-9th-st
NY,Lakewood,314 E Fairmount Ave,lakewood,314-e-fairmount-ave,https://locations.chipotle.com/ny/lakewood/314-e-fairmount-ave
CO,Colorado Springs,99 Spectrum Loop,colorado-springs,99-spectrum-loop,https://locations.chipotle.com/co/colorado-springs/99-spectrum-loop
FL,Clermont,3001 S Us Hwy 27,clermont,3001-s-us-hwy-27,https://locations.chipotle.com/fl/clermont/3001-s-us-hwy-27
KY,Paducah,3175 James Sanders Blvd,paducah,3175-james-sanders-blvd,https://locations.chipotle.com/ky/paducah/3175-james-sanders-blvd
VA,Martinsville,249 Commonwealth Blvd W,martinsville,249-commonwealth-blvd-w,https://locations.chipotle.com/va/martinsville/249-commonwealth-blvd-w
MI,Fenton,3409 Owen Rd,fenton,3409-owen-rd,https://locations.chipotle.com/mi/fenton/3409-owen-rd
IL,Belvidere,1940 N State St,belvidere,1940-n-state-st,https://locations.chipotle.com/il/belvidere/1940-n-state-st
MS,Ocean Springs,3419 Bienville Blvd,ocean-springs,3419-bienville-blvd,https://locations.chipotle.com/ms/ocean-springs/3419-bienville-blvd
WA,Renton,17803 108th Ave Se,renton,17803-108th-ave-se,https://locations.chipotle.com/wa/renton/17803-108th-ave-se
SC,Ladson,3676 Ladson Rd,ladson,3676-ladson-rd,https://locations.chipotle.com/sc/ladson/3676-ladson-rd
TN,Franklin,1711 Galleria Blvd,franklin,1711-galleria-blvd,https://locations.chipotle.com/tn/franklin/1711-galleria-blvd
GA,Cumming,3115 Ronald Reagan Blvd,cumming,3115-ronald-reagan-blvd,https://locations.chipotle.com/ga/cumming/3115-ronald-reagan-blvd
TX,Melissa,1220 Melissa Crossing Ct,melissa,1220-melissa-crossing-ct,https://locations.chipotle.com/tx/melissa/1220-melissa-crossing-ct
NY,Henrietta,4775 W Henrietta Rd,henrietta,4775-w-henrietta-rd,https://locations.chipotle.com/ny/henrietta/4775-w-henrietta-rd
TX,Killeen,500 W Stan Schlueter Loop,killeen,500-w-stan-schlueter-loop,https://locations.chipotle.com/tx/killeen/500-w-stan-schlueter-loop
CA,Los Angeles,4531 Hollywood Blvd,los-angeles,4531-hollywood-blvd,https://locations.chipotle.com/ca/los-angeles/4531-hollywood-blvd
NC,Charlotte,12715 Albemarle Rd,charlotte,12715-albemarle-rd,https://locations.chipotle.com/nc/charlotte/12715-albemarle-rd
PA,Levittown,165 Levittown Pkwy,levittown,165-levittown-pkwy,https://locations.chipotle.com/pa/levittown/165-levittown-pkwy
SC,Irmo,1069 Dutch Fork Rd,irmo,1069-dutch-fork-rd,https://locations.chipotle.com/sc/irmo/1069-dutch-fork-rd
VA,Richmond,6935 Forest Hill Ave,richmond,6935-forest-hill-ave,https://locations.chipotle.com/va/richmond/6935-forest-hill-ave
MN,Ramsey,14701 Armstrong Blvd Nw,ramsey,14701-armstrong-blvd-nw,https://locations.chipotle.com/mn/ramsey/14701-armstrong-blvd-nw
FL,Palm City,3150 Sw Martin Downs Blvd,palm-city,3150-sw-martin-downs-blvd,https://locations.chipotle.com/fl/palm-city/3150-sw-martin-downs-blvd
WA,Enumclaw,1040 Stevenson Ave,enumclaw,1040-stevenson-ave,https://locations.chipotle.com/wa/enumclaw/1040-stevenson-ave
VA,Richmond,4071 Concord Creek Place,richmond,4071-concord-creek-place,https://locations.chipotle.com/va/richmond/4071-concord-creek-place
IA,Altoona,3053 8th St Sw,altoona,3053-8th-st-sw,https://locations.chipotle.com/ia/altoona/3053-8th-st-sw
IL,Chicago,1825 W Lawrence Ave,chicago,1825-w-lawrence-ave,https://locations.chipotle.com/il/chicago/1825-w-lawrence-ave
NY,Troy,735 Hoosick Rd,troy,735-hoosick-rd,https://locations.chipotle.com/ny/troy/735-hoosick-rd
MI,Dearborn Heights,4345 S Telegraph Rd,dearborn-heights,4345-s-telegraph-rd,https://locations.chipotle.com/mi/dearborn-heights/4345-s-telegraph-rd
CA,Lemoore,223 W Hanford Armona Rd,lemoore,223-w-hanford-armona-rd,https://locations.chipotle.com/ca/lemoore/223-w-hanford-armona-rd
TN,White House,803 Highway 76,white-house,803-highway-76,https://locations.chipotle.com/tn/white-house/803-highway-76
CA,Davis,4823 Chiles Rd,davis,4823-chiles-rd,https://locations.chipotle.com/ca/davis/4823-chiles-rd
LA,Shreveport,9517 Mansfield Road,shreveport,9517-mansfield-road,https://locations.chipotle.com/la/shreveport/9517-mansfield-road
MN,Fergus Falls,528 Western Ave,fergus-falls,528-western-ave,https://locations.chipotle.com/mn/fergus-falls/528-western-ave
NY,Hempstead,154 Fulton Ave,hempstead,154-fulton-ave,https://locations.chipotle.com/ny/hempstead/154-fulton-ave
AR,Fayetteville,3702 W Wedington Dr,fayetteville,3702-w-wedington-dr,https://locations.chipotle.com/ar/fayetteville/3702-w-wedington-dr
NJ,Belleville,11 Franklin Ave,belleville,11-franklin-ave,https://locations.chipotle.com/nj/belleville/11-franklin-ave
MD,Lanham,10611 Greenbelt Rd,lanham,10611-greenbelt-rd,https://locations.chipotle.com/md/lanham/10611-greenbelt-rd
MA,Wilmington,208 Main St,wilmington,208-main-st,https://locations.chipotle.com/ma/wilmington/208-main-st
NC,Durham,4730 Guess Road,durham,4730-guess-road,https://locations.chipotle.com/nc/durham/4730-guess-road
PA,State College,1880 S Atherton St,state-college,1880-s-atherton-st,https://locations.chipotle.com/pa/state-college/1880-s-atherton-st
OK,Norman,3170 Classen Blvd,norman,3170-classen-blvd,https://locations.chipotle.com/ok/norman/3170-classen-blvd
IA,Iowa City,21 Sturgis Corner Dr,iowa-city,21-sturgis-corner-dr,https://locations.chipotle.com/ia/iowa-city/21-sturgis-corner-dr
MA,New Bedford,950 Kings Hwy,new-bedford,950-kings-hwy,https://locations.chipotle.com/ma/new-bedford/950-kings-hwy
FL,Punta Gorda,26180 Jones Loop Rd,punta-gorda,26180-jones-loop-rd,https://locations.chipotle.com/fl/punta-gorda/26180-jones-loop-rd
